"","x"
"GA-NC-0010",0
"GA-NC-0011",0
"GA-NC-0012",0
"GA-NC-0013",0
"GA-NC-0015",0
"GA-NC-0016",0
"GA-NC-0017",0
"GA-NC-0018",0
"GA-TM-0001",0
"GA-TM-0002",0
"GA-TM-0003",1
"GA-TM-0004",0
"GA-TM-0005",0
"GA-TM-0006",0
"GA-TM-0007",0
"GA-TM-0008",0
"GA-TM-0009",0
"GA-TM-0010",1
"GA-TM-0011",0
"GA-TM-0012",1
"GA-TM-0013",0
"GA-TM-0014",1
"GA-VG-0069",0
"GA-VG-0070",0
"GA-VG-0071",0
"GA-VG-0072",0
"GA-VG-0073",0
"GA-VG-0074",0
"GA-VG-0075",0
"GC-KM-885",0
"GC-KM-887",0
"GC-KM-888",0
"GC-KM-889",0
"GC-KM-891",1
"GC-KM-892",0
"GC-KM-893",1
"GC-KM-894",0
"GC-KM-895",0
"GC-KM-896",1
"GC-KM-898",0
"GC-KM-899",0
"GC-KM-905",0
"GC-KM-906",1
"GC-KM-907",1
"GC-KM-910",0
"GC-KM-911",0
"GC-KM-912",0
"GP-NC-0001",0
"GP-NC-0002",0
"GP-NC-0003",1
"GP-NC-0004",0
"GP-NC-0005",0
"GP-NC-0006",0
"GP-TM-0001",0
"GP-TM-0002",0
"GP-TM-0003",0
"GP-TM-0005",0
"GP-TM-0006",1
"GP-TM-0007",1
"GP-TM-0008",0
"GP-TM-0009",1
"GP-TM-0010",0
"GP-VG-0005",0
"GP-VG-0006",0
"GP-VG-0007",0
"GR-NC-0006",0
"GR-NC-0007",0
"GR-NC-0008",0
"GR-NC-0009",0
"GR-NC-0010",1
"GR-NC-0011",0
"GR-NC-0012",0
"GR-TM-0001",0
"GR-TM-0002",0
"GR-TM-0003",0
"GR-TM-0004",0
"GR-TM-0005",0
"GR-TM-0006",0
"GR-TM-0007",0
"GR-TM-0008",0
"GR-VG-0001",0
"GR-VG-0002",0
"GR-VG-0003",0
"GR-VG-0004",1
"GR-VG-0005",0
"GR-VG-0006",1
"GR-VG-0007",0
"GR-VG-0008",0
"GR-VG-0009",0
"GR-VG-0010",0
"GR-VG-0011",0
"GR-VG-0012",0
"GR-VG-0013",0
"GR-VG-0014",0
"GR-VG-0015",0
"GR-VG-0016",0
"GU-NC-0001",0
"GU-NC-0003",0
"GU-NC-0004",0
"GU-TM-0001",0
"GU-TM-0002",0
"GU-TM-0003",1
"GU-TM-0004",0
"GU-VG-0008",0
"GU-VG-0009",0
"GU-VG-0024",0
"GU-VG-0025",0
"GU-VG-0026",0
"GU-VG-0027",0
"GU-VG-0028",1
"GU-VG-0029",0
"GU-VG-0030",1
"GU-VG-0031",0
"GU-VG-0032",0
"GU-VG-0033",0
"GU-VG-0034",0
"GU-VG-0035",0
"GU-VG-0036",1
"GU-VG-0037",0
"GU-VG-0038",0
"GU-VG-0039",1
"GU-VG-0040",1
"GU-VG-0041",1
"GU-VG-0042",0
"GU-VG-0043",0
"GU-VG-0044",0
"GU-VG-0045",0
"GU-VG-0046",1
"GU-VG-0047",0
"GU-VG-0048",0
"KN-TM-0001",1
"KN-TM-0002",0
